Country;Population;Urban Population;Surface;Density;Median Age;Life Expectancy;Fertility Rate;Age 0-14;Age 14-65;Age 65-over
Italy;60,550,075;41,887,345;294,140;206;45.7;84.01;1.40;13.17;63.82;23.01
Sweden;10,036,379;8,817,415;410,340;24;40.9;83.33;1.89;17.63;62.18;20.20
Belgium;11,539,328;11,336,228;30,280;381;41.5;82.17;1.77;17.06;63.94;19.01
France;65,129,728;52,849,078;547,557;119;41.5;83.13;1.95;17.80;61.81;20.39
Germany;83,517,045;63,787,507;348,560;240;45.9;81.88;1.46;13.80;64.64;21.56
Spain;46,736,776;37,415,111;498,800;94;43.0;83.99;1.33;14.58;65.78;19.65
UK;67,530,172;56,012,276;241,930;279;40.1;81.77;1.84;17.70;63.80;18.51
Norway;5,378,857;4,462,009;365,268;15;39.3;82.94;1.79;17.41;65.31;17.27
Denmark;5,771,876;5,081,840;42,430;136;41.7;81.40;1.74;16.40;63.63;19.97
Finland;5,532,156;4,751,986;303,890;18;42.6;82.48;1.72;16.02;61.84;22.14
Portugal;10,226,187;6,743,854;91,590;112;44.3;82.65;1.28;13.25;64.39;22.36
Greece;10,473,455;8,831,631;128,900;81;43.8;82.80;1.34;13.90;64.17;21.94
Netherlands;17,097,130;15,740,995;33,720;507;42.3;82.78;1.72;15.88;64.51;19.61
Austria;8,955,102;5,129,574;82,409;109;43.3;82.05;1.46;14.36;66.56;19.08
Switzerland;8,591,365;6,357,099;39,516;217;42.4;84.25;1.53;14.94;66.22;18.84
Ireland;4,882,495;3,073,341;68,890;71;36.8;82.81;1.94;21.15;64.63;14.22