Data;Variazione Totale Attualmente Positivi;Nuovi Deceduti;Nuovi Positivi diviso 5;Percentuale Morti;Deceduti Teorici;Incremento Variazione Nuovi Positivi;Variazione Nuovi Deceduti;Variazione della Variazione Nuovi Deceduti;Incremento Variazione Nuovi Positivi
24/02/20;221;1;44,2;;1;20;1;;
25/02/20;90;3;18;;3;-131;2;1;-20,1333333333333
26/02/20;74;2;14,8;;2;-16;-1;-3;15,3333333333333
27/02/20;203;5;40,6;;5;129;3;4;19,3333333333333
28/02/20;233;4;46,6;;4;30;-1;-4;-13,2
29/02/20;228;8;45,6;;8;-5;4;5;-4,66666666666667
01/03/20;528;5;105,6;0,0226244343891403;41,99;300;-3;-7;40,6666666666667
02/03/20;258;18;51,6;0,2;18;-270;13;16;-76
03/03/20;428;27;85,6;0,364864864864865;14,8;170;9;-4;58,6666666666667
04/03/20;443;28;88,6;0,137931034482759;40,6;15;1;-8;-20,6666666666667
05/03/20;590;41;118;0,175965665236052;46,6;147;13;12;17,6
06/03/20;620;49;124;0,214912280701754;45,6;30;8;-5;-15,6
07/03/20;1145;36;229;0,0681818181818182;105,6;525;-13;-21;66
08/03/20;1326;133;265,2;0,515503875968992;51,6;181;97;110;-45,8666666666667
09/03/20;1598;97;319,6;0,226635514018692;85,6;272;-36;-133;12,1333333333333
10/03/20;529;168;105,8;0,379232505643341;88,6;-1069;71;107;-178,8
11/03/20;2076;196;415,2;0,332203389830508;118;1547;28;-43;348,8
12/03/20;2249;189;449,8;0,304838709677419;124;173;-7;-35;-183,2
13/03/20;2116;250;423,2;0,218340611353712;229;-133;61;68;-40,8
14/03/20;2795;175;559;0,131975867269985;265,2;679;-75;-136;108,266666666667
15/03/20;2853;368;570,6;0,230287859824781;319,6;58;193;268;-82,8
16/03/20;2470;349;494;0,659735349716446;105,8;-383;-19;-212;-58,8
17/03/20;2989;345;597,8;0,166184971098266;415,2;519;-4;15;120,266666666667
18/03/20;2648;475;529,6;0,211204979991107;449,8;-341;130;134;-114,666666666667
19/03/20;4480;427;896;0,20179584120983;423,2;1832;-48;-178;289,733333333333
20/03/20;4670;627;934;0,22432915921288;559;190;200;248;-218,933333333333
21/03/20;4821;793;964,2;0,27795303189625;570,6;151;166;-34;-5,2
22/03/20;3957;651;791,4;0,263562753036437;494;-864;-142;-308;-135,333333333333
23/03/20;3780;601;756;0,201070592171295;597,8;-177;-50;92;91,6
24/03/20;3612;743;722,4;0,280589123867069;529,6;-168;142;192;1,2
25/03/20;3491;683;698,2;0,152455357142857;896;-121;-60;-202;6,26666666666667
26/03/20;4492;662;898,4;0,141755888650964;934;1001;-21;39;149,6
27/03/20;4401;969;880,2;0,20099564405725;964,2;-91;307;328;-145,6
28/03/20;3651;889;730,2;0,224665150366439;791,4;-750;-80;-387;-87,8666666666667
29/03/20;3815;756;763;0,2;756;164;-133;-53;121,866666666667
30/03/20;1648;812;329,6;;722,4;-2167;56;189;-310,8
31/03/20;2107;837;421,4;;698,2;459;25;-31;350,133333333333
01/04/20;2937;727;587,4;;898,4;830;-110;-135;49,4666666666667
02/04/20;2477;760;495,4;;880,2;-460;33;143;-172
03/04/20;2339;766;467,8;;730,2;-138;6;-27;42,9333333333333
4/4/2020;2886;681;577,2;;763;547;-85;-91;91,3333333333333
5/4/2020;2972;525;594,4;;329,6;86;-156;-71;-61,4666666666667
6/4/2020;1941;636;388,2;;421,4;-1031;111;267;-148,933333333333